Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Atom™ x5-E3940,0.07,0.03,0.03,0.002,0.007,15150
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Atom™ x6425RE CPU-only,0.08,0.04,0.04,0.001,0.006,12334.9
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Atom™ x6425RE iGPU-only,0.17,#NUM!,0.17,0.002,0.014,5992.9
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Atom™ x6425RE CPU+iGPU,0.22,#NUM!,0.07,0.003,0.018,
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Celeron 6305E CPU-only,0.29,0.15,0.15,0.002,0.019,3413.4
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Celeron 6305E iGPU-only,0.94,0.34,0.57,0.008,0.062,1071.6
brain-tumor-segmentation-0001-MXNET-128x128x128,atom,Intel® Celeron 6305E CPU+iGPU,1.09,0.42,0.65,0.01,0.072,
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i3-8100,0.72,0.46,0.47,0.006,0.011,1429.2
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i5-8500,1.15,0.68,0.68,0.005,0.017,974.3
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-8700T,1.21,0.74,0.74,0.003,0.034,969.1
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i9-10920X,3.13,1.67,1.66,0.004,0.018,438.2
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-1185G7 CPU-only,1.22,0.6,0.59,0.002,0.043,1027.5
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-1185G7 iGPU-only,1.29,0.45,0.89,0.003,0.046,773.8
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-1185G7 CPU+iGPU,1.7,0.64,0.98,0.003,0.06,
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-11850HE CPU-only,2.13,0.99,1.01,0.005,0.047,741
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-11850HE iGPU-only,0.82,0.3,0.51,0.002,0.018,1218.9
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i7-11850HE CPU+iGPU,1.79,0.73,0.94,0.004,0.039,
brain-tumor-segmentation-0001-MXNET-128x128x128,core,Intel® Core™ i5-10500TE ,1.06,0.65,0.66,0.005,0.03,1097.4
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® W1290P,1.76,0.98,0.99,0.003,0.014,671.3
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® E-2124G,0.84,0.54,0.54,0.003,0.011,1248.8
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® Silver 4216R,5.05,2.55,2.56,0.005,0.02,357.6
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® Gold 5218T,5.07,2.62,2.63,0.003,0.024,323.5
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® Platinum 8270,9.17,4.89,4.89,0.001,0.022,275.5
brain-tumor-segmentation-0001-MXNET-128x128x128,xeon,Intel® Xeon® Platinum 8380,14.16,6.98,7.08,0.001,0.026,147.4
