Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
deeplabv3-TF-513x513,atom,Intel® Atom™ x5-E3940,3.2,1.53,1.52,0.094,0.336,318.9
deeplabv3-TF-513x513,atom,Intel® Atom™ x6425RE CPU-only,3.93,2.15,2.12,0.066,0.327,261.1
deeplabv3-TF-513x513,atom,Intel® Atom™ x6425RE iGPU-only,5.98,3.89,6.19,0.101,0.498,170.4
deeplabv3-TF-513x513,atom,Intel® Atom™ x6425RE CPU+iGPU,9.37,5.51,7.6,0.158,0.78,
deeplabv3-TF-513x513,atom,Intel® Celeron 6305E CPU-only,11.13,4.48,4.48,0.104,0.742,89.8
deeplabv3-TF-513x513,atom,Intel® Celeron 6305E iGPU-only,45.51,15.81,24.77,0.425,3.034,24.2
deeplabv3-TF-513x513,atom,Intel® Celeron 6305E CPU+iGPU,55.47,17.41,27.52,0.518,3.698,
deeplabv3-TF-513x513,core,Intel® Core™ i3-8100,23.86,15.62,15.62,0.203,0.367,41.7
deeplabv3-TF-513x513,core,Intel® Core™ i5-8500,36.61,21.33,21.5,0.19,0.563,27.3
deeplabv3-TF-513x513,core,Intel® Core™ i7-8700T,42.96,22.55,22.96,0.141,1.227,27.1
deeplabv3-TF-513x513,core,Intel® Core™ i9-10920X,144.7,44.76,44.36,0.206,0.876,7.1
deeplabv3-TF-513x513,core,Intel® Core™ i7-1185G7 CPU-only,50.21,16.42,16.59,0.117,1.793,22.1
deeplabv3-TF-513x513,core,Intel® Core™ i7-1185G7 iGPU-only,75.58,19.85,40.27,0.177,2.699,14.2
deeplabv3-TF-513x513,core,Intel® Core™ i7-1185G7 CPU+iGPU,96.27,25.68,45.71,0.225,3.438,
deeplabv3-TF-513x513,core,Intel® Core™ i7-11850HE CPU-only,74.38,23.54,23.58,0.188,1.652,17.2
deeplabv3-TF-513x513,core,Intel® Core™ i7-11850HE iGPU-only,36.93,15.67,22.48,0.093,0.82,28.3
deeplabv3-TF-513x513,core,Intel® Core™ i7-11850HE CPU+iGPU,92.06,32.73,41.41,0.233,2.045,
deeplabv3-TF-513x513,core,Intel® Core™ i5-10500TE ,37.64,18.85,18.96,0.193,1.075,30.4
deeplabv3-TF-513x513,xeon,Intel® Xeon® W1290P,66.1,23.44,23.5,0.122,0.528,16.7
deeplabv3-TF-513x513,xeon,Intel® Xeon® E-2124G,27.51,17.94,18.11,0.129,0.387,36.1
deeplabv3-TF-513x513,xeon,Intel® Xeon® Silver 4216R,192.71,77.43,77.29,0.192,0.77,7.9
deeplabv3-TF-513x513,xeon,Intel® Xeon® Gold 5218T,199.42,82.21,82.22,0.147,0.949,7.7
deeplabv3-TF-513x513,xeon,Intel® Xeon® Platinum 8270,453.41,150.31,149.39,0.061,1.105,4.8
deeplabv3-TF-513x513,xeon,Intel® Xeon® Platinum 8380,703.67,228.94,229.59,0.086,1.303,3
deeplabv3-TF-513x513,accel,Intel® Neural Compute Stick 2,,,3.5,0.05,1.4,
deeplabv3-TF-513x513,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,28.29,0.066,0.943,
