Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
densenet-121-TF-224x224,atom,Intel® Atom™ x5-E3940,13.3,5.18,5.16,0.391,1.4,81.43
densenet-121-TF-224x224,atom,Intel® Atom™ x6425RE CPU-only,16.41,6.61,6.61,0.278,1.367,63.83
densenet-121-TF-224x224,atom,Intel® Atom™ x6425RE iGPU-only,22.33,14.22,23.73,0.378,1.86,54.39
densenet-121-TF-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,36.91,19.78,29.11,0.625,3.075,
densenet-121-TF-224x224,atom,Intel® Celeron 6305E CPU-only,50.04,14.52,14.52,0.467,3.336,19.84
densenet-121-TF-224x224,atom,Intel® Celeron 6305E iGPU-only,95.37,61.21,97.14,0.891,6.358,14.04
densenet-121-TF-224x224,atom,Intel® Celeron 6305E CPU+iGPU,118.49,70.33,98.91,1.107,7.899,
densenet-121-TF-224x224,core,Intel® Core™ i3-8100,114.96,61.33,61.24,0.982,1.768,9.93
densenet-121-TF-224x224,core,Intel® Core™ i5-8500,165.49,88.94,89.63,0.861,2.546,7
densenet-121-TF-224x224,core,Intel® Core™ i7-8700T,185.69,102.38,102.26,0.612,5.305,6.78
densenet-121-TF-224x224,core,Intel® Core™ i9-10920X,951.11,242.74,248.02,1.358,5.764,2.97
densenet-121-TF-224x224,core,Intel® Core™ i7-1185G7 CPU-only,226.2,64.53,65.26,0.53,8.078,5.41
densenet-121-TF-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,230.12,115.32,174.53,0.54,8.218,7.53
densenet-121-TF-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,307.64,141.75,187.17,0.722,10.987,
densenet-121-TF-224x224,core,Intel® Core™ i7-11850HE CPU-only,401.84,122.72,125.97,1.017,8.929,3.01
densenet-121-TF-224x224,core,Intel® Core™ i7-11850HE iGPU-only,158.24,54.58,92.29,0.4,3.516,9.49
densenet-121-TF-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,416.51,132.09,170.85,1.054,9.255,
densenet-121-TF-224x224,core,Intel® Core™ i5-10500TE ,166.36,90.6,90.25,0.853,4.753,7.54
densenet-121-TF-224x224,xeon,Intel® Xeon® W1290P,305.28,158.13,158.92,0.566,2.442,4.21
densenet-121-TF-224x224,xeon,Intel® Xeon® E-2124G,131.82,72.03,71.95,0.618,1.856,8.63
densenet-121-TF-224x224,xeon,Intel® Xeon® Silver 4216R,1000.12,285.27,285.15,0.998,4,5.27
densenet-121-TF-224x224,xeon,Intel® Xeon® Gold 5218T,1058.62,302.88,302.68,0.784,5.041,5.09
densenet-121-TF-224x224,xeon,Intel® Xeon® Platinum 8270,3062.75,823.01,827.17,0.413,7.47,5.37
densenet-121-TF-224x224,xeon,Intel® Xeon® Platinum 8380,4816.76,1138.08,1151.72,0.594,8.919,3.08
densenet-121-TF-224x224,accel,Intel® Neural Compute Stick 2,,,39.39,0.57,15.756,
densenet-121-TF-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,312.83,0.736,10.427,
