Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
facenet-20180408-102900-TF-160x160,atom,Intel® Atom™ x5-E3940,26.76,11.1,11.08,0.787,2.816,41.98
facenet-20180408-102900-TF-160x160,atom,Intel® Atom™ x6425RE CPU-only,33.33,13.61,13.73,0.564,2.777,33.52
facenet-20180408-102900-TF-160x160,atom,Intel® Atom™ x6425RE iGPU-only,19.4,21.2,28.07,0.328,1.616,65.5
facenet-20180408-102900-TF-160x160,atom,Intel® Atom™ x6425RE CPU+iGPU,48.75,33.49,40.28,0.826,4.062,
facenet-20180408-102900-TF-160x160,atom,Intel® Celeron 6305E CPU-only,106.7,32.75,32.63,0.997,7.113,9.29
facenet-20180408-102900-TF-160x160,atom,Intel® Celeron 6305E iGPU-only,145.84,76.52,100.95,1.362,9.722,9.31
facenet-20180408-102900-TF-160x160,atom,Intel® Celeron 6305E CPU+iGPU,188.63,96.75,116.16,1.762,12.575,
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i3-8100,235.91,120.94,119.91,2.016,3.629,5.42
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i5-8500,330.18,161.96,164.58,1.719,5.079,4.01
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-8700T,363.47,174.63,171.37,1.199,10.384,3.92
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i9-10920X,2099.03,537.44,545.86,2.998,12.721,2.06
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-1185G7 CPU-only,481.15,134.58,136.01,1.129,17.183,2.81
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-1185G7 iGPU-only,277.22,121.28,131.23,0.65,9.9,5.12
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-1185G7 CPU+iGPU,560.66,208.14,233.08,1.316,20.023,
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-11850HE CPU-only,860.05,260.82,257.28,2.177,19.112,1.95
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-11850HE iGPU-only,170.23,74.19,102.55,0.43,3.782,5.72
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i7-11850HE CPU+iGPU,717.83,233.79,260.16,1.817,15.951,
facenet-20180408-102900-TF-160x160,core,Intel® Core™ i5-10500TE ,326.97,155.31,155.66,1.676,9.342,4.28
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® W1290P,587.57,267.43,259.51,1.09,4.7,2.64
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® E-2124G,269.86,139.65,139.02,1.266,3.8,4.59
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® Silver 4216R,2038.98,575.11,575.26,2.034,8.155,3.81
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® Gold 5218T,2145.93,607.17,607,1.59,10.218,3.73
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® Platinum 8270,5853.03,1565.28,1570.07,0.79,14.275,4.35
facenet-20180408-102900-TF-160x160,xeon,Intel® Xeon® Platinum 8380,10801.13,2122.15,2133.37,1.333,20.002,1.98
facenet-20180408-102900-TF-160x160,accel,Intel® Neural Compute Stick 2,,,86.63,1.255,34.652,
facenet-20180408-102900-TF-160x160,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,697.37,1.64,23.245,
