Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
inception-v3-TF-299x299,atom,Intel® Atom™ x5-E3940,7.06,2.91,2.92,0.207,0.743,147.2
inception-v3-TF-299x299,atom,Intel® Atom™ x6425RE CPU-only,8.78,3.57,3.57,0.148,0.731,118.54
inception-v3-TF-299x299,atom,Intel® Atom™ x6425RE iGPU-only,14.45,8.71,14.64,0.244,1.204,74.45
inception-v3-TF-299x299,atom,Intel® Atom™ x6425RE CPU+iGPU,22.55,11.64,17.35,0.382,1.879,
inception-v3-TF-299x299,atom,Intel® Celeron 6305E CPU-only,30.46,8.67,8.68,0.284,2.03,32.57
inception-v3-TF-299x299,atom,Intel® Celeron 6305E iGPU-only,117.54,39.32,62.54,1.098,7.836,13.13
inception-v3-TF-299x299,atom,Intel® Celeron 6305E CPU+iGPU,133.78,46.63,69.2,1.25,8.918,
inception-v3-TF-299x299,core,Intel® Core™ i3-8100,64.53,33.22,33.22,0.551,0.992,16.65
inception-v3-TF-299x299,core,Intel® Core™ i5-8500,93.93,47.9,48.28,0.489,1.445,11.55
inception-v3-TF-299x299,core,Intel® Core™ i7-8700T,103.2,55.19,55.13,0.34,2.948,10.93
inception-v3-TF-299x299,core,Intel® Core™ i9-10920X,592.21,146.81,148.23,0.846,3.589,3.21
inception-v3-TF-299x299,core,Intel® Core™ i7-1185G7 CPU-only,131.21,34.97,35.42,0.308,4.686,8.45
inception-v3-TF-299x299,core,Intel® Core™ i7-1185G7 iGPU-only,194.87,73.12,109.29,0.457,6.959,7.25
inception-v3-TF-299x299,core,Intel® Core™ i7-1185G7 CPU+iGPU,261.82,87.87,122.51,0.614,9.35,
inception-v3-TF-299x299,core,Intel® Core™ i7-11850HE CPU-only,250.88,57.71,54.96,0.635,5.575,4.59
inception-v3-TF-299x299,core,Intel® Core™ i7-11850HE iGPU-only,95.44,30.64,52.44,0.241,2.12,12.48
inception-v3-TF-299x299,core,Intel® Core™ i7-11850HE CPU+iGPU,264.08,75.39,96.93,0.668,5.868,
inception-v3-TF-299x299,core,Intel® Core™ i5-10500TE ,92.57,48.48,49.05,0.474,2.644,12.09
inception-v3-TF-299x299,xeon,Intel® Xeon® W1290P,175.6,86.86,86.53,0.325,1.404,6.59
inception-v3-TF-299x299,xeon,Intel® Xeon® E-2124G,73.74,38.53,38.43,0.346,1.038,14.53
inception-v3-TF-299x299,xeon,Intel® Xeon® Silver 4216R,595.99,156.65,156.37,0.594,2.383,4.34
inception-v3-TF-299x299,xeon,Intel® Xeon® Gold 5218T,629.98,166.57,166.75,0.466,2.999,4.31
inception-v3-TF-299x299,xeon,Intel® Xeon® Platinum 8270,1943.66,478.92,480.52,0.262,4.74,3.34
inception-v3-TF-299x299,xeon,Intel® Xeon® Platinum 8380,3043.73,601.65,607.08,0.375,5.636,1.97
inception-v3-TF-299x299,accel,Intel® Neural Compute Stick 2,,,20.33,0.294,8.132,
inception-v3-TF-299x299,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,163.95,0.385,5.465,
