Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
mobilenet-ssd-CF-300x300,atom,Intel® Atom™ x5-E3940,27.79,12.82,12.83,0.817,2.925,37.83
mobilenet-ssd-CF-300x300,atom,Intel® Atom™ x6425RE CPU-only,34.59,17.02,17.12,0.586,2.882,30.17
mobilenet-ssd-CF-300x300,atom,Intel® Atom™ x6425RE iGPU-only,58.46,35.23,59.53,0.99,4.871,20.69
mobilenet-ssd-CF-300x300,atom,Intel® Atom™ x6425RE CPU+iGPU,88.65,49.33,74.78,1.502,7.387,
mobilenet-ssd-CF-300x300,atom,Intel® Celeron 6305E CPU-only,108.25,39.38,39.54,1.011,7.216,9.14
mobilenet-ssd-CF-300x300,atom,Intel® Celeron 6305E iGPU-only,244.89,153.85,242.19,2.288,16.326,6.1
mobilenet-ssd-CF-300x300,atom,Intel® Celeron 6305E CPU+iGPU,319.71,173.45,254.27,2.987,21.314,
mobilenet-ssd-CF-300x300,core,Intel® Core™ i3-8100,240.77,142.7,142.58,2.057,3.704,4.53
mobilenet-ssd-CF-300x300,core,Intel® Core™ i5-8500,347.75,209.68,210.23,1.811,5.35,3.12
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-8700T,400.12,243.02,241.42,1.32,11.432,2.98
mobilenet-ssd-CF-300x300,core,Intel® Core™ i9-10920X,2103.11,484.67,488.43,3.004,12.746,0.99
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-1185G7 CPU-only,479.99,153.25,154.85,1.126,17.142,2.28
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-1185G7 iGPU-only,536.2,284.27,382.08,1.258,19.15,2.52
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-1185G7 CPU+iGPU,710.28,322.29,430.06,1.667,25.367,
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-11850HE CPU-only,911.41,260.6,282.74,2.307,20.253,1.19
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-11850HE iGPU-only,409.56,137.83,221.12,1.036,9.101,3.61
mobilenet-ssd-CF-300x300,core,Intel® Core™ i7-11850HE CPU+iGPU,967.23,315.05,399.13,2.448,21.494,
mobilenet-ssd-CF-300x300,core,Intel® Core™ i5-10500TE ,358.93,213.8,213.6,1.84,10.255,3.31
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® W1290P,678.24,347.63,350.72,1.258,5.425,1.73
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® E-2124G,276.14,171.63,171.88,1.296,3.889,3.89
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® Silver 4216R,2105.34,660.96,665.84,2.101,8.421,1.7
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® Gold 5218T,2230.65,707.19,705.83,1.653,10.622,1.6
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® Platinum 8270,6548.73,1787.46,1745.69,0.884,15.972,1.82
mobilenet-ssd-CF-300x300,xeon,Intel® Xeon® Platinum 8380,10701.2,2780.15,2790.75,1.321,19.817,0.89
mobilenet-ssd-CF-300x300,accel,Intel® Neural Compute Stick 2,,,57.96,0.84,23.184,
mobilenet-ssd-CF-300x300,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,455.36,1.071,15.178,
