Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Atom™ x5-E3940,79.72,45.95,45.93,2.344,8.391,13.67
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Atom™ x6425RE CPU-only,97.16,60.7,59.65,1.646,8.096,10.92
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Atom™ x6425RE iGPU-only,107.54,82.02,118.41,1.822,8.961,12.39
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,189.05,130.73,169.07,3.204,15.754,
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Celeron 6305E CPU-only,258.94,125.73,126.26,2.42,17.262,3.81
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Celeron 6305E iGPU-only,352.39,336.16,503.03,3.293,23.492,3.56
mobilenet-v2-1.0-224-TF-224x224,atom,Intel® Celeron 6305E CPU+iGPU,546.15,376.49,391.67,5.104,36.41,
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i3-8100,601.85,424.82,424.37,5.144,9.259,1.81
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i5-8500,880.86,584.09,581.65,4.587,13.551,1.32
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-8700T,1051.48,686.19,689.34,3.47,30.042,1.3
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i9-10920X,4626.89,1156.56,1153.3,6.609,28.041,0.6
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-1185G7 CPU-only,1172.82,490.21,493.73,2.753,41.886,0.99
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,952.49,505.14,732.02,2.235,34.017,1.8
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,1393.55,650.16,842.25,3.271,49.769,
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-11850HE CPU-only,2148.81,903.8,951.35,5.44,47.751,0.6
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-11850HE iGPU-only,750.55,326.46,534.19,1.9,16.678,2.68
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,1749.83,879.24,1054.6,4.429,38.885,
mobilenet-v2-1.0-224-TF-224x224,core,Intel® Core™ i5-10500TE ,944.78,594.09,599.38,4.845,26.993,1.45
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® W1290P,1783.54,964.01,962.34,3.308,14.268,0.79
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® E-2124G,693.19,501.12,497.87,3.254,9.763,1.57
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® Silver 4216R,5003.85,1911.44,1902.8,4.993,20.015,1.28
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® Gold 5218T,5312.13,2016.45,2027.72,3.937,25.295,1.26
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® Platinum 8270,14584.47,3845.9,3765.52,1.969,35.571,1.62
mobilenet-v2-1.0-224-TF-224x224,xeon,Intel® Xeon® Platinum 8380,23893.7,6810.25,6872.26,2.95,44.247,0.69
mobilenet-v2-1.0-224-TF-224x224,accel,Intel® Neural Compute Stick 2,,,81.48,1.18,32.592,
mobilenet-v2-1.0-224-TF-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,653.79,1.538,21.793,
