Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
resnet-18-pytorch [224x224],atom,Intel® Atom™ x5-E3940,,9.61,9.61,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],atom,Intel® Atom™ x6425E CPU-only,,,,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],atom,Intel® Atom™ x6425E iGPU-only,,,,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],atom,Intel® Atom™ x6425E CPU+iGPU,,,,#VALUE!,#VALUE!,
resnet-18-pytorch [224x224],atom,Intel® Celeron 6305E CPU-only,,,,0,0,
resnet-18-pytorch [224x224],atom,Intel® Celeron 6305E iGPU-only,,,,0,0,
resnet-18-pytorch [224x224],atom,Intel® Celeron 6305E CPU+iGPU,,,,0,0,
resnet-18-pytorch [224x224],core,Intel® Core™ i3-8100,,104.83,104.68,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i5-8500,,156.19,158.89,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i7-8700T,,121.86,123.25,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-10900TE,,126.62,128.51,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900HK CPU-only,,200.95,205.19,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900HK iGPU-only,,363.56,797.93,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900HK CPU+iGPU,,466.67,833.79,#VALUE!,#VALUE!,
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900K CPU-only,,281.99,282.83,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900K iGPU-only,,150.96,317.56,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i9-12900K CPU+iGPU,,417.21,582.57,#VALUE!,#VALUE!,
resnet-18-pytorch [224x224],core,Intel® Core™ i7-11800H CPU-only,,256,255.62,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i7-11800H iGPU-only,,138.07,288.23,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i7-11800H CPU+iGPU,,352.19,481.2,#VALUE!,#VALUE!,
resnet-18-pytorch [224x224],core,Intel® Core™ i7-1185G7 CPU-only,,137.94,140.34,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i7-1185G7 iGPU-only,,336.54,727.41,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i7-1185G7 CPU+iGPU,,386.38,709.46,#VALUE!,#VALUE!,
resnet-18-pytorch [224x224],core,Intel® Core™ i7-1185GRE CPU-only,,100.16,94.5,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],core,Intel® Core™ i5-10500TE ,,126.62,128.51,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® W1290P,,303.88,303.68,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® E-2124G,,101.02,100.96,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® Silver 4216R,,509.77,510.61,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® Silver 4316,,,,0,0,
resnet-18-pytorch [224x224],xeon,Intel® Xeon® Gold 5218T,,535.12,535.16,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® Platinum 8270,,1522.75,1528.02,#VALUE!,#VALUE!,0
resnet-18-pytorch [224x224],xeon,Intel® Xeon® Platinum 8380,,,,0,0,
resnet-18-pytorch [224x224],accel,Intel® Neural Compute Stick 2,,,97.93,1.419,39.172,
resnet-18-pytorch [224x224],accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,,0,0,
