Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
resnet-50-PYTORCH-224x224,atom,Intel® Atom™ x5-E3940,9.39,3.81,3.82,0.276,0.988,109.59
resnet-50-PYTORCH-224x224,atom,Intel® Atom™ x6425RE CPU-only,11.84,4.9,4.88,0.2,0.986,86.58
resnet-50-PYTORCH-224x224,atom,Intel® Atom™ x6425RE iGPU-only,23.5,12.3,23.37,0.398,1.958,45.26
resnet-50-PYTORCH-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,34.3,16.39,27.1,0.581,2.858,
resnet-50-PYTORCH-224x224,atom,Intel® Celeron 6305E CPU-only,41.65,12.1,12.11,0.389,2.776,23.79
resnet-50-PYTORCH-224x224,atom,Intel® Celeron 6305E iGPU-only,183.11,55.32,99.1,1.711,12.207,7.42
resnet-50-PYTORCH-224x224,atom,Intel® Celeron 6305E CPU+iGPU,215.7,66.2,109.63,2.015,14.38,
resnet-50-PYTORCH-224x224,core,Intel® Core™ i3-8100,86.14,45.92,45.75,0.736,1.325,12.25
resnet-50-PYTORCH-224x224,core,Intel® Core™ i5-8500,124.89,66.86,67.15,0.65,1.921,8.86
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-8700T,138.86,74.69,74.52,0.458,3.967,8.28
resnet-50-PYTORCH-224x224,core,Intel® Core™ i9-10920X,760.39,190.94,192.99,1.086,4.608,2.16
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-1185G7 CPU-only,175.18,48.27,49.01,0.411,6.256,6.12
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,327.31,102.34,182.66,0.768,11.689,3.99
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,408.7,123.02,189.56,0.959,14.596,
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-11850HE CPU-only,338.33,74.73,75.57,0.856,7.518,3.18
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-11850HE iGPU-only,164.05,45.44,84.16,0.415,3.645,7.51
resnet-50-PYTORCH-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,375.27,105.88,144.91,0.95,8.339,
resnet-50-PYTORCH-224x224,core,Intel® Core™ i5-10500TE ,124.45,66.28,66.13,0.638,3.555,9.46
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® W1290P,239.16,118.24,118.03,0.443,1.913,4.79
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® E-2124G,98.46,53.38,53.01,0.462,1.386,10.75
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® Silver 4216R,777.18,217.53,217.79,0.775,3.108,2.59
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® Gold 5218T,823.27,230.71,231.11,0.61,3.92,2.47
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® Platinum 8270,2509,639.22,646.08,0.338,6.119,1.72
resnet-50-PYTORCH-224x224,xeon,Intel® Xeon® Platinum 8380,3925.92,876.75,889.93,0.484,7.27,1.08
resnet-50-PYTORCH-224x224,accel,Intel® Neural Compute Stick 2,,,28.8,0.417,11.52,
resnet-50-PYTORCH-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,230.41,0.542,7.68,
