Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
resnet-50-TF-224x224,atom,Intel® Atom™ x5-E3940,8.77,3.72,3.71,0.257,0.923,116.36
resnet-50-TF-224x224,atom,Intel® Atom™ x6425RE CPU-only,10.98,4.74,4.73,0.186,0.915,92.84
resnet-50-TF-224x224,atom,Intel® Atom™ x6425RE iGPU-only,23.46,12.28,23.28,0.397,1.955,45.49
resnet-50-TF-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,33.59,16.25,27.05,0.569,2.799,
resnet-50-TF-224x224,atom,Intel® Celeron 6305E CPU-only,41.39,12.08,12.09,0.386,2.759,23.9
resnet-50-TF-224x224,atom,Intel® Celeron 6305E iGPU-only,181.97,55.41,98.6,1.7,12.131,7.59
resnet-50-TF-224x224,atom,Intel® Celeron 6305E CPU+iGPU,213.13,65.94,109.25,1.991,14.208,
resnet-50-TF-224x224,core,Intel® Core™ i3-8100,86.05,45.93,45.6,0.735,1.323,12.31
resnet-50-TF-224x224,core,Intel® Core™ i5-8500,124.61,66.46,67.59,0.649,1.917,8.9
resnet-50-TF-224x224,core,Intel® Core™ i7-8700T,138.27,74.6,74.53,0.456,3.95,8.33
resnet-50-TF-224x224,core,Intel® Core™ i9-10920X,760.7,190.66,192.85,1.086,4.61,2.22
resnet-50-TF-224x224,core,Intel® Core™ i7-1185G7 CPU-only,174.5,48.33,49.09,0.409,6.232,6.18
resnet-50-TF-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,323.03,101.43,182.6,0.758,11.536,4.09
resnet-50-TF-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,408.37,121.48,189.41,0.958,14.584,
resnet-50-TF-224x224,core,Intel® Core™ i7-11850HE CPU-only,336.69,78,70.69,0.852,7.482,3.38
resnet-50-TF-224x224,core,Intel® Core™ i7-11850HE iGPU-only,162.99,45.43,83.92,0.412,3.622,7.48
resnet-50-TF-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,376.13,106.21,144.65,0.952,8.358,
resnet-50-TF-224x224,core,Intel® Core™ i5-10500TE ,124.05,66.28,66.16,0.636,3.544,9.68
resnet-50-TF-224x224,xeon,Intel® Xeon® W1290P,237.55,117.67,118.32,0.44,1.9,5
resnet-50-TF-224x224,xeon,Intel® Xeon® E-2124G,98.45,53.09,53.27,0.462,1.386,10.78
resnet-50-TF-224x224,xeon,Intel® Xeon® Silver 4216R,775.18,217.49,217.6,0.773,3.1,2.71
resnet-50-TF-224x224,xeon,Intel® Xeon® Gold 5218T,820.93,230.47,230.38,0.608,3.909,2.59
resnet-50-TF-224x224,xeon,Intel® Xeon® Platinum 8270,2496.88,638.74,643.22,0.337,6.089,1.95
resnet-50-TF-224x224,xeon,Intel® Xeon® Platinum 8380,3910.82,876.5,891.36,0.482,7.242,1.15
resnet-50-TF-224x224,accel,Intel® Neural Compute Stick 2,,,28.86,0.418,11.544,
resnet-50-TF-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,231.99,0.545,7.733,
