Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
se-resnext-50-CF-224x224,atom,Intel® Atom™ x5-E3940,8.1,3.23,3.21,0.238,0.852,134.4
se-resnext-50-CF-224x224,atom,Intel® Atom™ x6425RE CPU-only,10.25,4.39,4.36,0.173,0.854,103.43
se-resnext-50-CF-224x224,atom,Intel® Atom™ x6425RE iGPU-only,16.53,9.03,16.89,0.28,1.377,66.22
se-resnext-50-CF-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,25.72,12.42,20.31,0.435,2.143,
se-resnext-50-CF-224x224,atom,Intel® Celeron 6305E CPU-only,33.31,9.84,9.84,0.311,2.22,29.82
se-resnext-50-CF-224x224,atom,Intel® Celeron 6305E iGPU-only,138.44,35.42,68.08,1.293,9.229,11.39
se-resnext-50-CF-224x224,atom,Intel® Celeron 6305E CPU+iGPU,155.61,42.17,76.06,1.454,10.374,
se-resnext-50-CF-224x224,core,Intel® Core™ i3-8100,69.12,36.13,35.94,0.59,1.063,16.35
se-resnext-50-CF-224x224,core,Intel® Core™ i5-8500,99.75,51.78,52.29,0.519,1.534,12.12
se-resnext-50-CF-224x224,core,Intel® Core™ i7-8700T,111.9,59.05,58.84,0.369,3.197,12.02
se-resnext-50-CF-224x224,core,Intel® Core™ i9-10920X,546.53,131.52,132.88,0.78,3.312,4.03
se-resnext-50-CF-224x224,core,Intel® Core™ i7-1185G7 CPU-only,140.51,40.24,40.92,0.329,5.018,8.12
se-resnext-50-CF-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,223.31,72.06,127.21,0.524,7.975,6.25
se-resnext-50-CF-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,299.28,83.82,137.18,0.702,10.688,
se-resnext-50-CF-224x224,core,Intel® Core™ i7-11850HE CPU-only,256.03,64.05,61.83,0.648,5.689,4.54
se-resnext-50-CF-224x224,core,Intel® Core™ i7-11850HE iGPU-only,122.38,35.59,59.13,0.309,2.719,10
se-resnext-50-CF-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,294.97,83.87,107.32,0.746,6.554,
se-resnext-50-CF-224x224,core,Intel® Core™ i5-10500TE ,100.42,51.93,51.69,0.514,2.869,13.37
se-resnext-50-CF-224x224,xeon,Intel® Xeon® W1290P,191.78,83.46,82.57,0.355,1.534,8.61
se-resnext-50-CF-224x224,xeon,Intel® Xeon® E-2124G,79.6,42.09,42.01,0.373,1.121,14.25
se-resnext-50-CF-224x224,xeon,Intel® Xeon® Silver 4216R,610.9,173.24,173.27,0.609,2.443,5.55
se-resnext-50-CF-224x224,xeon,Intel® Xeon® Gold 5218T,647.19,183.2,183.53,0.479,3.081,5.32
se-resnext-50-CF-224x224,xeon,Intel® Xeon® Platinum 8270,1819.55,455.6,455.08,0.245,4.437,4.89
se-resnext-50-CF-224x224,xeon,Intel® Xeon® Platinum 8380,2969.08,718.26,727.83,0.366,5.498,2.77
se-resnext-50-CF-224x224,accel,Intel® Neural Compute Stick 2,,,18.68,0.27,7.472,
se-resnext-50-CF-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,148.13,0.348,4.937,
