Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
squeezenet1.1-CF-227x227,atom,Intel® Atom™ x5-E3940,86.79,40.92,40.9,2.552,9.135,12.6
squeezenet1.1-CF-227x227,atom,Intel® Atom™ x6425RE CPU-only,110.82,51.08,51.18,1.878,9.235,9.28
squeezenet1.1-CF-227x227,atom,Intel® Atom™ x6425RE iGPU-only,151.28,101.79,153.09,2.564,12.606,8.74
squeezenet1.1-CF-227x227,atom,Intel® Atom™ x6425RE CPU+iGPU,248.26,145.18,197.09,4.207,20.688,
squeezenet1.1-CF-227x227,atom,Intel® Celeron 6305E CPU-only,328.66,119.93,120.01,3.071,21.91,2.99
squeezenet1.1-CF-227x227,atom,Intel® Celeron 6305E iGPU-only,611.56,438.55,643.06,5.715,40.77,2.27
squeezenet1.1-CF-227x227,atom,Intel® Celeron 6305E CPU+iGPU,862.85,491.35,611.26,8.064,57.523,
squeezenet1.1-CF-227x227,core,Intel® Core™ i3-8100,753.48,443.08,441.44,6.44,11.592,1.44
squeezenet1.1-CF-227x227,core,Intel® Core™ i5-8500,1086.79,640.86,645.53,5.66,16.719,1.05
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-8700T,1241.1,735.95,745.62,4.096,35.46,1.02
squeezenet1.1-CF-227x227,core,Intel® Core™ i9-10920X,6482.99,1818.79,1845.69,9.261,39.29,0.46
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-1185G7 CPU-only,1533.45,484.28,490.73,3.599,54.766,0.78
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-1185G7 iGPU-only,1707.36,786.51,1122.78,4.007,60.977,1.15
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-1185G7 CPU+iGPU,1979.86,953.3,1229.33,4.647,70.709,
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-11850HE CPU-only,2918.66,937.06,952.47,7.389,64.859,0.46
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-11850HE iGPU-only,1120.29,406.57,675.58,2.836,24.895,1.83
squeezenet1.1-CF-227x227,core,Intel® Core™ i7-11850HE CPU+iGPU,2394.94,984.57,1251.48,6.063,53.22,
squeezenet1.1-CF-227x227,core,Intel® Core™ i5-10500TE ,1112.98,647.13,643.3,5.707,31.799,1.13
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® W1290P,2085.49,1146.17,1153.65,3.869,16.683,0.65
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® E-2124G,869.24,524.29,525.33,4.08,12.242,1.28
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® Silver 4216R,6430.34,2144.75,2143.79,6.417,25.721,0.98
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® Gold 5218T,6833.56,2265.25,2266.08,5.065,32.54,0.96
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® Platinum 8270,20222.45,5873.85,5949.57,2.73,49.323,1.35
squeezenet1.1-CF-227x227,xeon,Intel® Xeon® Platinum 8380,33142.67,8534.51,8638.76,4.092,61.375,0.51
squeezenet1.1-CF-227x227,accel,Intel® Neural Compute Stick 2,,,285.85,4.142,114.34,
squeezenet1.1-CF-227x227,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,2226.61,5.239,74.22,
