Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
ssd300-CF-300x300,atom,Intel® Atom™ x5-E3940,1.31,0.55,0.55,0.038,0.137,767.5
ssd300-CF-300x300,atom,Intel® Atom™ x6425RE CPU-only,1.65,0.64,0.64,0.027,0.137,605.7
ssd300-CF-300x300,atom,Intel® Atom™ x6425RE iGPU-only,3.25,2.08,4.22,0.055,0.27,346.7
ssd300-CF-300x300,atom,Intel® Atom™ x6425RE CPU+iGPU,4.52,2.37,3.85,0.076,0.376,
ssd300-CF-300x300,atom,Intel® Celeron 6305E CPU-only,6.11,1.62,1.62,0.057,0.407,163.6
ssd300-CF-300x300,atom,Intel® Celeron 6305E iGPU-only,28.72,9.33,23.85,0.268,1.914,68.9
ssd300-CF-300x300,atom,Intel® Celeron 6305E CPU+iGPU,22.59,10.6,24.73,0.211,1.506,
ssd300-CF-300x300,atom,Intel® Core™ i3-8100,12.07,5.98,5.98,0.103,0.185,83.3
ssd300-CF-300x300,atom,Intel® Core™ i5-8500,17.74,9.24,9.32,0.092,0.272,57.4
ssd300-CF-300x300,core,Intel® Core™ i7-8700T,19.51,10.61,10.58,0.064,0.557,58.7
ssd300-CF-300x300,core,Intel® Core™ i9-10920X,110.36,28.42,28.64,0.157,0.668,10.6
ssd300-CF-300x300,core,Intel® Core™ i7-1185G7 CPU-only,26.9,6.35,6.43,0.063,0.96,39.4
ssd300-CF-300x300,core,Intel® Core™ i7-1185G7 iGPU-only,67.43,18.34,46.57,0.158,2.408,21.3
ssd300-CF-300x300,core,Intel® Core™ i7-1185G7 CPU+iGPU,69.21,19.94,43,0.162,2.471,
ssd300-CF-300x300,core,Intel® Core™ i7-11850HE CPU-only,33.19,12.24,12.33,0.084,0.737,32.9
ssd300-CF-300x300,core,Intel® Core™ i7-11850HE iGPU-only,22.98,7.33,17.1,0.058,0.51,50.3
ssd300-CF-300x300,core,Intel® Core™ i7-11850HE CPU+iGPU,55.48,15.67,25.22,0.14,1.232,
ssd300-CF-300x300,core,Intel® Core™ i5-10500TE ,17.39,9.39,9.4,0.089,0.496,65.4
ssd300-CF-300x300,xeon,Intel® Xeon® W1290P,32.86,17.43,17.45,0.06,0.262,34
ssd300-CF-300x300,xeon,Intel® Xeon® E-2124G,13.84,7.13,7.14,0.064,0.194,73
ssd300-CF-300x300,xeon,Intel® Xeon® Silver 4216R,115.24,29.78,29.81,0.115,0.46,12
ssd300-CF-300x300,xeon,Intel® Xeon® Gold 5218T,122.04,31.91,31.89,0.09,0.581,11.5
ssd300-CF-300x300,xeon,Intel® Xeon® Platinum 8270,375.7,96.38,98.05,0.05,0.916,6.5
ssd300-CF-300x300,xeon,Intel® Xeon® Platinum 8380,558.48,137.47,139.95,0.068,1.034,4
ssd300-CF-300x300,accel,Intel® Neural Compute Stick 2,,,4.16,0.06,1.664,
ssd300-CF-300x300,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,33.31,0.078,1.11,
