Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Atom™ x5-E3940,25.65,11.75,11.73,0.754,2.7,41.91
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Atom™ x6425RE CPU-only,32,15.64,15.68,0.542,2.666,32.92
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Atom™ x6425RE iGPU-only,46.79,29.38,48.02,0.793,3.899,25.32
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Atom™ x6425RE CPU+iGPU,74.81,42.54,61.49,1.267,6.234,
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Celeron 6305E CPU-only,97.77,35.58,35.64,0.913,6.518,10.14
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Celeron 6305E iGPU-only,291.1,122.45,187.39,2.72,19.406,7.72
ssd_mobilenet_v1_coco-TF-300x300,atom,Intel® Celeron 6305E CPU+iGPU,267.12,144.42,203.26,2.496,17.808,
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i3-8100,219.18,125.02,125.34,1.873,3.372,5.08
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i5-8500,314.37,182.19,182.67,1.637,4.836,3.56
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-8700T,361.84,205.39,206.57,1.194,10.338,3.38
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i9-10920X,1825.52,430.51,428.9,2.607,11.063,1.25
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-1185G7 CPU-only,428.39,139.21,141.01,1.005,15.299,2.6
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-1185G7 iGPU-only,483.54,232.33,324.12,1.135,17.269,3.34
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-1185G7 CPU+iGPU,676.66,275.95,367.42,1.588,24.166,
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-11850HE CPU-only,809.75,241.85,223.57,2.05,17.994,1.4
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-11850HE iGPU-only,265.23,109,166.48,0.671,5.894,4.98
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i7-11850HE CPU+iGPU,792.26,284.46,329.73,2.005,17.605,
ssd_mobilenet_v1_coco-TF-300x300,core,Intel® Core™ i5-10500TE ,324.85,179.38,180.34,1.665,9.281,3.82
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® W1290P,607.16,307.5,309.64,1.126,4.857,2.08
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® E-2124G,252.08,151.35,150.97,1.183,3.55,4.38
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® Silver 4216R,1912.92,602.11,599.08,1.909,7.651,2.24
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® Gold 5218T,2021.98,641.34,639.21,1.498,9.628,2.31
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® Platinum 8270,5736.57,1590.02,1599.01,0.774,13.991,2.4
ssd_mobilenet_v1_coco-TF-300x300,xeon,Intel® Xeon® Platinum 8380,9385.31,2413.35,2479.15,1.158,17.38,1.42
ssd_mobilenet_v1_coco-TF-300x300,accel,Intel® Neural Compute Stick 2,,,44.96,0.651,17.984,
ssd_mobilenet_v1_coco-TF-300x300,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,359.94,0.846,11.998,
