Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
vgg19-caffe-224x224,atom,Intel® Atom™ x5-E3940,2.02,0.89,0.89,0.059,0.212,501.9
vgg19-caffe-224x224,atom,Intel® Atom™ x6425RE CPU-only,2.61,1.03,1.03,0.044,0.217,385.5
vgg19-caffe-224x224,atom,Intel® Atom™ x6425RE iGPU-only,5.64,3.45,8.37,0.095,0.47,179.3
vgg19-caffe-224x224,atom,Intel® Atom™ x6425RE CPU+iGPU,7.93,3.91,9.02,0.134,0.66,
vgg19-caffe-224x224,atom,Intel® Celeron 6305E CPU-only,9.79,2.51,2.51,0.091,0.652,102.3
vgg19-caffe-224x224,atom,Intel® Celeron 6305E iGPU-only,48.51,15,43.7,0.453,3.234,21.5
vgg19-caffe-224x224,atom,Intel® Celeron 6305E CPU+iGPU,57.29,17.36,45.88,0.535,3.819,
vgg19-caffe-224x224,core,Intel® Core™ i3-8100,18.03,9.85,9.8,0.154,0.277,57.4
vgg19-caffe-224x224,core,Intel® Core™ i5-8500,26.57,14.02,14.2,0.138,0.408,39.7
vgg19-caffe-224x224,core,Intel® Core™ i7-8700T,29.02,15.55,15.56,0.095,0.829,41.7
vgg19-caffe-224x224,core,Intel® Core™ i9-10920X,162.83,40.51,40.88,0.232,0.986,7.7
vgg19-caffe-224x224,core,Intel® Core™ i7-1185G7 CPU-only,47.37,9.93,10,0.111,1.691,23.1
vgg19-caffe-224x224,core,Intel® Core™ i7-1185G7 iGPU-only,79.41,29.19,81.19,0.186,2.836,13.1
vgg19-caffe-224x224,core,Intel® Core™ i7-1185G7 CPU+iGPU,105.07,31.6,77.24,0.246,3.752,
vgg19-caffe-224x224,core,Intel® Core™ i7-11850HE CPU-only,51.32,16.7,16.45,0.129,1.14,22.4
vgg19-caffe-224x224,core,Intel® Core™ i7-11850HE iGPU-only,37.42,11.03,34.4,0.094,0.831,27.3
vgg19-caffe-224x224,core,Intel® Core™ i7-11850HE CPU+iGPU,87.27,23.57,46.44,0.22,1.939,
vgg19-caffe-224x224,core,Intel® Core™ i5-10500TE ,26.04,14.03,13.91,0.133,0.744,45.8
vgg19-caffe-224x224,xeon,Intel® Xeon® W1290P,49.64,24.36,24.68,0.092,0.397,25.1
vgg19-caffe-224x224,xeon,Intel® Xeon® E-2124G,20.87,11.37,11.37,0.097,0.293,49.8
vgg19-caffe-224x224,xeon,Intel® Xeon® Silver 4216R,177.86,42.59,42.7,0.177,0.711,6.9
vgg19-caffe-224x224,xeon,Intel® Xeon® Gold 5218T,187.53,45.27,45.32,0.139,0.893,6.6
vgg19-caffe-224x224,xeon,Intel® Xeon® Platinum 8270,554.95,123,123.95,0.074,1.353,3.9
vgg19-caffe-224x224,xeon,Intel® Xeon® Platinum 8380,826.37,169.74,173.52,0.102,1.53,2
vgg19-caffe-224x224,accel,Intel® Neural Compute Stick 2,,,8.46,0.122,3.384,
vgg19-caffe-224x224,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,67.34,0.158,2.244,
