Network model,IE-Type,Platform name,Throughput-INT8,Throughput-FP32,Throughput-FP16,Value,Efficiency,Latency
yolo_v4-tf-608x608,atom,Intel® Atom™ x5-E3940,0.53,0.23,0.23,0.015,0.055,1985.7
yolo_v4-tf-608x608,atom,Intel® Atom™ x6425RE CPU-only,0.69,0.27,0.27,0.011,0.057,1477.2
yolo_v4-tf-608x608,atom,Intel® Atom™ x6425RE iGPU-only,1.84,0.96,1.88,0.031,0.153,547.4
yolo_v4-tf-608x608,atom,Intel® Atom™ x6425RE CPU+iGPU,2.45,1,1.76,0.041,0.204,
yolo_v4-tf-608x608,atom,Intel® Celeron 6305E CPU-only,2.48,0.76,0.76,0.023,0.165,403
yolo_v4-tf-608x608,atom,Intel® Celeron 6305E iGPU-only,14.42,4.14,7.95,0.134,0.961,74.1
yolo_v4-tf-608x608,atom,Intel® Celeron 6305E CPU+iGPU,16.61,4.79,8.39,0.155,1.107,
yolo_v4-tf-608x608,core,Intel® Core™ i3-8100,4.98,2.08,2.08,0.042,0.076,203.5
yolo_v4-tf-608x608,core,Intel® Core™ i5-8500,7.25,3.71,3.78,0.037,0.111,140.7
yolo_v4-tf-608x608,core,Intel® Core™ i7-8700T,8.2,4.25,4.24,0.027,0.234,139.5
yolo_v4-tf-608x608,core,Intel® Core™ i9-10920X,41.86,11.99,12.14,0.059,0.253,27.1
yolo_v4-tf-608x608,core,Intel® Core™ i7-1185G7 CPU-only,10.35,2.89,2.92,0.024,0.369,99
yolo_v4-tf-608x608,core,Intel® Core™ i7-1185G7 iGPU-only,26.97,7.47,14.46,0.063,0.963,39
yolo_v4-tf-608x608,core,Intel® Core™ i7-1185G7 CPU+iGPU,30.3,8.09,13.86,0.071,1.082,
yolo_v4-tf-608x608,core,Intel® Core™ i7-11850HE CPU-only,13.07,4.57,4.59,0.033,0.29,80.4
yolo_v4-tf-608x608,core,Intel® Core™ i7-11850HE iGPU-only,10.76,3.25,6.44,0.027,0.239,94.9
yolo_v4-tf-608x608,core,Intel® Core™ i7-11850HE CPU+iGPU,23.81,7.01,10.16,0.06,0.529,
yolo_v4-tf-608x608,core,Intel® Core™ i5-10500TE ,7.34,3.73,3.76,0.037,0.209,155.9
yolo_v4-tf-608x608,xeon,Intel® Xeon® W1290P,13.91,6.91,6.87,0.025,0.111,80.1
yolo_v4-tf-608x608,xeon,Intel® Xeon® E-2124G,5.71,2.4,2.39,0.026,0.08,178.3
yolo_v4-tf-608x608,xeon,Intel® Xeon® Silver 4216R,45.53,13.65,13.66,0.045,0.182,27.3
yolo_v4-tf-608x608,xeon,Intel® Xeon® Gold 5218T,48.69,14.64,14.69,0.036,0.231,26.2
yolo_v4-tf-608x608,xeon,Intel® Xeon® Platinum 8270,139.11,40.55,40.92,0.018,0.339,12.7
yolo_v4-tf-608x608,xeon,Intel® Xeon® Platinum 8380,216.3,56.86,57.49,0.026,0.4,7.3
yolo_v4-tf-608x608,accel,Intel® Neural Compute Stick 2,,,1.4,0.02,0.56,
yolo_v4-tf-608x608,accel,Intel® Movidius™ VPUs (Uzel* UI-AR8),,,11.17,0.026,0.372,
